id;type;date;winner;players;stats
0;Cricket;2025-03-13 10:15;Rabi;"[""Rabi"",""Eik""]";"{""playerStats"":{""1"":{""points"":0,""nbHit"":4,""nbMiss"":2,""nbSingle"":0,""nbDouble"":4,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""targets"":{""15"":0,""16"":0,""17"":0,""18"":3,""19"":0,""20"":0,""25"":0}},""2"":{""points"":90,""nbHit"":1,""nbMiss"":2,""nbSingle"":0,""nbDouble"":1,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""targets"":{""15"":0,""16"":0,""17"":0,""18"":2,""19"":0,""20"":0,""25"":0}}},""gameInfo"":{""totalHits"":5,""totalMisses"":4,""accuracy"":56,""duration"":53845,""date"":""2025-03-13T09:15:43.011Z""}}"
1;Cricket;2025-03-13 10:16;Eik;"[""Rabi"",""Eik""]";"{""playerStats"":{""1"":{""points"":0,""nbHit"":0,""nbMiss"":0,""nbSingle"":0,""nbDouble"":0,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""targets"":{""15"":0,""16"":0,""17"":0,""18"":0,""19"":0,""20"":0,""25"":0}},""2"":{""points"":0,""nbHit"":0,""nbMiss"":0,""nbSingle"":0,""nbDouble"":0,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""targets"":{""15"":0,""16"":0,""17"":0,""18"":0,""19"":0,""20"":0,""25"":0}}},""gameInfo"":{""totalHits"":0,""totalMisses"":0,""accuracy"":0,""duration"":8343,""date"":""2025-03-13T09:16:06.030Z""}}"
2;HyperJumpUp;2025-03-13 10:25;Joueur 1;"[""Joueur 1"",""Joueur 2""]";"{""playerStats"":{""1"":{""points"":36,""nbHit"":1,""nbMiss"":0,""nbSingle"":0,""nbDouble"":1,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""multiplier"":1,""hitZones"":0,""unusedMultiplierZones"":3,""targets"":{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0,""10"":0,""11"":0,""12"":0,""13"":0,""14"":0,""15"":0,""16"":0,""17"":0,""18"":0,""19"":0,""20"":0,""25"":0}},""2"":{""points"":0,""nbHit"":0,""nbMiss"":0,""nbSingle"":0,""nbDouble"":0,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""multiplier"":1,""hitZones"":0,""unusedMultiplierZones"":3,""targets"":{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0,""10"":0,""11"":0,""12"":0,""13"":0,""14"":0,""15"":0,""16"":0,""17"":0,""18"":0,""19"":0,""20"":0,""25"":0}}},""gameInfo"":{""totalHits"":1,""totalMisses"":0,""accuracy"":100,""duration"":13806,""date"":""2025-03-13T09:25:36.080Z""}}"
3;Cricket;2025-03-13 10:30;Eik;"[""Eik"",""Hybrid""]";"{""playerStats"":{""1"":{""points"":0,""nbHit"":5,""nbMiss"":1,""nbThrow"":6,""nbSingle"":0,""nbDouble"":5,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""accuracy"":83,""targets"":{""15"":0,""16"":0,""17"":0,""18"":3,""19"":0,""20"":0,""25"":0}},""2"":{""points"":18,""nbHit"":5,""nbMiss"":1,""nbThrow"":6,""nbSingle"":0,""nbDouble"":5,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""accuracy"":83,""targets"":{""15"":0,""16"":0,""17"":0,""18"":3,""19"":0,""20"":0,""25"":0}}},""gameInfo"":{""totalHits"":10,""totalMisses"":2,""totalThrows"":12,""accuracy"":83,""duration"":34498,""date"":""2025-03-13T09:30:25.144Z""}}"
4;Cricket;2025-03-13 10:34;Eik;"[""Eik"",""Hybrid""]";"{""playerStats"":{""1"":{""points"":0,""nbHit"":5,""nbMiss"":1,""nbThrow"":6,""nbSingle"":0,""nbDouble"":5,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""accuracy"":83,""targets"":{""15"":0,""16"":0,""17"":0,""18"":3,""19"":0,""20"":0,""25"":0}},""2"":{""points"":54,""nbHit"":4,""nbMiss"":2,""nbThrow"":6,""nbSingle"":0,""nbDouble"":4,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""accuracy"":67,""targets"":{""15"":0,""16"":0,""17"":0,""18"":3,""19"":0,""20"":0,""25"":0}}},""gameInfo"":{""totalHits"":9,""totalMisses"":3,""totalThrows"":12,""accuracy"":75,""duration"":24951,""date"":""2025-03-13T09:34:39.566Z""}}"
5;Cricket;2025-03-13 10:37;Eik;"[""Eik"",""Hybrid""]";"{""playerStats"":{""1"":{""points"":0,""nbHit"":5,""nbMiss"":0,""nbThrow"":5,""nbSingle"":0,""nbDouble"":5,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""accuracy"":100,""targets"":{""15"":0,""16"":0,""17"":0,""18"":3,""19"":0,""20"":0,""25"":0}},""2"":{""points"":18,""nbHit"":5,""nbMiss"":0,""nbThrow"":5,""nbSingle"":0,""nbDouble"":5,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""accuracy"":100,""targets"":{""15"":0,""16"":0,""17"":0,""18"":3,""19"":0,""20"":0,""25"":0}}},""gameInfo"":{""totalHits"":10,""totalMisses"":0,""totalThrows"":10,""accuracy"":100,""duration"":21506,""date"":""2025-03-13T09:37:09.641Z""}}"
6;Cricket;2025-03-13 10:46;Eik;"[""Eik"",""Hybrid""]";"{""playerStats"":{""1"":{""points"":0,""nbHit"":6,""nbMiss"":0,""nbThrow"":6,""nbSingle"":0,""nbDouble"":6,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""accuracy"":100,""closedTargets"":1,""totalClosedHits"":0,""targets"":{""15"":0,""16"":0,""17"":0,""18"":3,""19"":0,""20"":0,""25"":0}},""2"":{""points"":54,""nbHit"":3,""nbMiss"":0,""nbThrow"":3,""nbSingle"":0,""nbDouble"":3,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""accuracy"":100,""closedTargets"":1,""totalClosedHits"":0,""targets"":{""15"":0,""16"":0,""17"":0,""18"":3,""19"":0,""20"":0,""25"":0}}},""gameInfo"":{""totalHits"":9,""totalMisses"":0,""totalThrows"":9,""accuracy"":100,""duration"":19103,""date"":""2025-03-13T09:46:03.910Z""}}"
7;Cricket;2025-03-13 10:46;Eik;"[""Eik"",""Hybrid""]";"{""playerStats"":{""1"":{""points"":0,""nbHit"":3,""nbMiss"":0,""nbThrow"":3,""nbSingle"":0,""nbDouble"":3,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""accuracy"":100,""closedTargets"":1,""totalClosedHits"":0,""targets"":{""15"":0,""16"":0,""17"":0,""18"":3,""19"":0,""20"":0,""25"":0}},""2"":{""points"":54,""nbHit"":3,""nbMiss"":0,""nbThrow"":3,""nbSingle"":0,""nbDouble"":3,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""accuracy"":100,""closedTargets"":1,""totalClosedHits"":0,""targets"":{""15"":0,""16"":0,""17"":0,""18"":3,""19"":0,""20"":0,""25"":0}}},""gameInfo"":{""totalHits"":6,""totalMisses"":0,""totalThrows"":6,""accuracy"":100,""duration"":13664,""date"":""2025-03-13T09:46:42.756Z""}}"
8;Cricket;2025-03-13 10:47;Eik;"[""Eik"",""Hybrid""]";"{""playerStats"":{""1"":{""points"":0,""nbHit"":3,""nbMiss"":0,""nbThrow"":3,""nbSingle"":0,""nbDouble"":3,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""accuracy"":100,""closedTargets"":1,""totalClosedHits"":0,""targets"":{""15"":0,""16"":0,""17"":0,""18"":3,""19"":0,""20"":0,""25"":0}},""2"":{""points"":54,""nbHit"":0,""nbMiss"":0,""nbThrow"":0,""nbSingle"":0,""nbDouble"":0,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""accuracy"":0,""closedTargets"":0,""totalClosedHits"":0,""targets"":{""15"":0,""16"":0,""17"":0,""18"":0,""19"":0,""20"":0,""25"":0}}},""gameInfo"":{""totalHits"":3,""totalMisses"":0,""totalThrows"":3,""accuracy"":100,""duration"":9614,""date"":""2025-03-13T09:47:37.327Z""}}"
9;Cricket;2025-03-13 10:51;Eik;"[""Eik"",""Hybrid""]";"{""playerStats"":{""1"":{""points"":0,""nbHit"":3,""nbMiss"":0,""nbThrow"":3,""nbSingle"":0,""nbDouble"":3,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""accuracy"":100,""closedTargets"":1,""totalClosedHits"":0,""targets"":{""15"":0,""16"":0,""17"":0,""18"":3,""19"":0,""20"":0,""25"":0}},""2"":{""points"":54,""nbHit"":3,""nbMiss"":0,""nbThrow"":3,""nbSingle"":0,""nbDouble"":3,""nbTriple"":0,""nbBull"":0,""nbDoubleBull"":0,""accuracy"":100,""closedTargets"":1,""totalClosedHits"":0,""targets"":{""15"":0,""16"":0,""17"":0,""18"":3,""19"":0,""20"":0,""25"":0}}},""gameInfo"":{""totalHits"":6,""totalMisses"":0,""totalThrows"":6,""accuracy"":100,""duration"":22607,""date"":""2025-03-13T09:51:33.943Z""}}"
